2019-12-08T14:00:45.000Z, Authentication Failure, User438
2019-12-09T08:24:51.000Z, Process Start, User183
2019-12-09T08:25:14.000Z, Process Start, User127
2019-12-09T08:25:43.000Z, Login, User409
2019-12-09T08:26:13.000Z, Process Start, User127
2019-12-09T08:26:36.000Z, Process Start, User464
2019-12-09T08:26:46.000Z, Process Start, User464
2019-12-09T08:27:10.000Z, Authentication Failure, User435
2019-12-09T08:27:33.000Z, Process Start, User183
2019-12-09T08:28:23.000Z, Logout, User183
2019-12-09T08:29:45.000Z, Process Start, User317
2019-12-09T08:30:15.000Z, Process Start, User464
2019-12-09T08:30:24.000Z, Login, User141
2019-12-09T08:30:33.000Z, Logout, User20
2019-12-09T08:31:15.000Z, Logout, User409
2019-12-09T08:33:19.000Z, Login, User443
2019-12-09T08:33:28.000Z, Process Start, User141
2019-12-09T08:33:41.000Z, Logout, User464
2019-12-09T08:34:19.000Z, Logout, User443
2019-12-09T08:35:35.000Z, Logout, User317
2019-12-09T08:35:44.000Z, Authentication Failure, User467
2019-12-09T08:36:50.000Z, Logout, User141
2019-12-09T08:37:22.000Z, Login, User435
2019-12-09T08:37:26.000Z, Login, User133
2019-12-09T08:39:17.000Z, Authentication Failure, User287
2019-12-09T08:39:28.000Z, Login, User421
2019-12-09T08:40:38.000Z, Process Start, User435
2019-12-09T08:41:47.000Z, Authentication Failure, User216
2019-12-09T08:42:04.000Z, Logout, User133
2019-12-09T08:42:13.000Z, Logout, User421
2019-12-09T08:44:10.000Z, Process Start, User127
2019-12-09T08:45:42.000Z, Login, User218
2019-12-09T08:46:00.000Z, Logout, User127
2019-12-09T08:47:33.000Z, Logout, User435
2019-12-09T08:51:48.000Z, Login, User244
2019-12-09T08:52:22.000Z, Authentication Failure, User404
2019-12-09T08:53:09.000Z, Process Start, User218
2019-12-09T08:53:14.000Z, Login, User443
2019-12-09T08:55:03.000Z, Login, User464
2019-12-09T08:55:24.000Z, Process Start, User443
2019-12-09T08:55:35.000Z, Login, User284
2019-12-09T08:55:45.000Z, Login, User307
2019-12-09T08:55:57.000Z, Process Start, User284
2019-12-09T08:56:13.000Z, Logout, User443
2019-12-09T08:58:11.000Z, Process Start, User464
2019-12-09T08:58:29.000Z, Logout, User284
2019-12-09T08:58:50.000Z, Login, User117
2019-12-09T08:59:04.000Z, Process Start, User218
2019-12-09T09:00:49.000Z, Logout, User307
2019-12-09T09:01:02.000Z, Logout, User218
2019-12-09T09:02:13.000Z, Process Start, User117
2019-12-09T09:02:57.000Z, Logout, User244
2019-12-09T09:03:00.000Z, Login, User259
2019-12-09T09:03:30.000Z, Process Start, User464
2019-12-09T09:03:47.000Z, Login, User141
2019-12-09T09:03:50.000Z, Logout, User259
2019-12-09T09:03:53.000Z, Logout, User141
2019-12-09T09:03:57.000Z, Process Start, User464
2019-12-09T09:04:06.000Z, Process Start, User117
2019-12-09T09:06:12.000Z, Login, User236
2019-12-09T09:06:53.000Z, Login, User139
2019-12-09T09:07:05.000Z, Logout, User464
2019-12-09T09:07:07.000Z, Login, User66
2019-12-09T09:07:44.000Z, Login, User496
2019-12-09T09:07:49.000Z, Login, User412
2019-12-09T09:07:55.000Z, Login, User152
2019-12-09T09:08:05.000Z, Logout, User117
2019-12-09T09:08:35.000Z, Logout, User139
2019-12-09T09:09:19.000Z, Logout, User496
2019-12-09T09:10:00.000Z, Logout, User66
2019-12-09T09:10:24.000Z, Login, User212
2019-12-09T09:10:32.000Z, Logout, User236
2019-12-09T09:10:33.000Z, Login, User45
2019-12-09T09:10:36.000Z, Process Start, User152
2019-12-09T09:11:27.000Z, Login, User139
2019-12-09T09:12:10.000Z, Authentication Failure, User71
2019-12-09T09:12:31.000Z, Logout, User212
2019-12-09T09:12:54.000Z, Logout, User152
2019-12-09T09:13:00.000Z, Login, User192
2019-12-09T09:13:11.000Z, Login, User110
2019-12-09T09:13:33.000Z, Login, User426
2019-12-09T09:14:05.000Z, Logout, User110
2019-12-09T09:14:06.000Z, Login, User218
2019-12-09T09:14:19.000Z, Process Start, User426
2019-12-09T09:14:37.000Z, Login, User436
2019-12-09T09:14:50.000Z, Login, User289
2019-12-09T09:14:52.000Z, Login, User209
2019-12-09T09:14:54.000Z, Process Start, User218
2019-12-09T09:15:09.000Z, Login, User169
2019-12-09T09:15:19.000Z, Authentication Failure, User421
2019-12-09T09:15:58.000Z, Process Start, User192
2019-12-09T09:16:18.000Z, Logout, User289
2019-12-09T09:16:38.000Z, Process Start, User218
2019-12-09T09:16:42.000Z, Process Start, User169
2019-12-09T09:17:17.000Z, Logout, User426
2019-12-09T09:17:25.000Z, Process Start, User139
2019-12-09T09:17:28.000Z, Login, User148
2019-12-09T09:17:32.000Z, Logout, User436
2019-12-09T09:17:48.000Z, Process Start, User192
2019-12-09T09:18:17.000Z, Process Start, User169
2019-12-09T09:18:26.000Z, Logout, User45
2019-12-09T09:18:43.000Z, Process Start, User169
2019-12-09T09:18:58.000Z, Login, User3
2019-12-09T09:19:10.000Z, Process Start, User412
2019-12-09T09:19:20.000Z, Login, User423
2019-12-09T09:19:40.000Z, Logout, User148
2019-12-09T09:20:03.000Z, Logout, User209
2019-12-09T09:20:17.000Z, Logout, User218
2019-12-09T09:21:03.000Z, Process Start, User423
2019-12-09T09:21:07.000Z, Logout, User412
2019-12-09T09:21:33.000Z, Login, User95
2019-12-09T09:21:54.000Z, Login, User16
2019-12-09T09:22:28.000Z, Login, User244
2019-12-09T09:22:32.000Z, Logout, User95
2019-12-09T09:23:06.000Z, Process Start, User169
2019-12-09T09:23:16.000Z, Process Start, User139
2019-12-09T09:24:09.000Z, Process Start, User3
2019-12-09T09:24:19.000Z, Login, User367
2019-12-09T09:24:28.000Z, Logout, User3
2019-12-09T09:24:33.000Z, Login, User63
2019-12-09T09:24:50.000Z, Login, User218
2019-12-09T09:24:52.000Z, Login, User436
2019-12-09T09:25:17.000Z, Logout, User244
2019-12-09T09:25:41.000Z, Authentication Failure, User413
2019-12-09T09:25:52.000Z, Process Start, User218
2019-12-09T09:26:00.000Z, Process Start, User436
2019-12-09T09:26:15.000Z, Login, User110
2019-12-09T09:26:37.000Z, Logout, User367
2019-12-09T09:27:05.000Z, Login, User481
2019-12-09T09:27:10.000Z, Logout, User110
2019-12-09T09:27:22.000Z, Logout, User218
2019-12-09T09:27:31.000Z, Logout, User139
2019-12-09T09:27:51.000Z, Process Start, User63
2019-12-09T09:27:59.000Z, Logout, User481
2019-12-09T09:28:12.000Z, Logout, User192
2019-12-09T09:28:28.000Z, Login, User467
2019-12-09T09:28:52.000Z, Login, User20
2019-12-09T09:29:05.000Z, Login, User105
2019-12-09T09:29:22.000Z, Process Start, User16
2019-12-09T09:29:32.000Z, Process Start, User20
2019-12-09T09:29:58.000Z, Process Start, User20
2019-12-09T09:30:03.000Z, Process Start, User169
2019-12-09T09:30:39.000Z, Logout, User169
2019-12-09T09:30:43.000Z, Authentication Failure, User279
2019-12-09T09:30:47.000Z, Login, User153
2019-12-09T09:30:55.000Z, Login, User205
2019-12-09T09:31:10.000Z, Logout, User205
2019-12-09T09:32:28.000Z, Process Start, User16
2019-12-09T09:32:46.000Z, Login, User163
2019-12-09T09:32:57.000Z, Logout, User467
2019-12-09T09:32:59.000Z, Logout, User105
2019-12-09T09:33:23.000Z, Process Start, User153
2019-12-09T09:33:52.000Z, Login, User64
2019-12-09T09:34:07.000Z, Logout, User436
2019-12-09T09:34:14.000Z, Login, User207
2019-12-09T09:34:39.000Z, Authentication Failure, User224
2019-12-09T09:35:05.000Z, Authentication Failure, User152
2019-12-09T09:35:10.000Z, Logout, User16
2019-12-09T09:35:25.000Z, Login, User413
2019-12-09T09:35:29.000Z, Logout, User64
2019-12-09T09:35:57.000Z, Login, User192
2019-12-09T09:36:42.000Z, Process Start, User163
2019-12-09T09:36:58.000Z, Login, User76
2019-12-09T09:37:31.000Z, Process Start, User207
2019-12-09T09:38:04.000Z, Login, User453
2019-12-09T09:38:05.000Z, Logout, User163
2019-12-09T09:38:12.000Z, Logout, User20
2019-12-09T09:38:39.000Z, Login, User71
2019-12-09T09:38:42.000Z, Login, User355
2019-12-09T09:39:02.000Z, Logout, User413
2019-12-09T09:39:15.000Z, Login, User412
2019-12-09T09:39:16.000Z, Logout, User63
2019-12-09T09:40:11.000Z, Login, User107
2019-12-09T09:40:17.000Z, Process Start, User207
2019-12-09T09:40:17.000Z, Logout, User412
2019-12-09T09:40:51.000Z, Login, User367
2019-12-09T09:41:00.000Z, Process Start, User453
2019-12-09T09:41:38.000Z, Authentication Failure, User59
2019-12-09T09:41:45.000Z, Login, User413
2019-12-09T09:42:02.000Z, Logout, User76
2019-12-09T09:42:06.000Z, Logout, User207
2019-12-09T09:42:18.000Z, Process Start, User453
2019-12-09T09:42:47.000Z, Logout, User355
2019-12-09T09:43:09.000Z, Process Start, User413
2019-12-09T09:44:21.000Z, Login, User83
2019-12-09T09:44:28.000Z, Login, User301
2019-12-09T09:44:47.000Z, Authentication Failure, User63
2019-12-09T09:44:57.000Z, Process Start, User107
2019-12-09T09:45:13.000Z, Logout, User83
2019-12-09T09:45:18.000Z, Authentication Failure, User317
2019-12-09T09:45:20.000Z, Authentication Failure, User467
2019-12-09T09:45:21.000Z, Login, User58
2019-12-09T09:45:21.000Z, Logout, User153
2019-12-09T09:45:35.000Z, Login, User219
2019-12-09T09:45:43.000Z, Login, User198
2019-12-09T09:45:50.000Z, Logout, User301
2019-12-09T09:45:59.000Z, Login, User208
2019-12-09T09:46:00.000Z, Logout, User219
2019-12-09T09:46:18.000Z, Authentication Failure, User197
2019-12-09T09:47:02.000Z, Process Start, User107
2019-12-09T09:47:49.000Z, Logout, User208
2019-12-09T09:47:52.000Z, Login, User337
2019-12-09T09:47:55.000Z, Logout, User453
2019-12-09T09:48:01.000Z, Login, User416
2019-12-09T09:48:05.000Z, Login, User26
2019-12-09T09:48:19.000Z, Login, User292
2019-12-09T09:48:22.000Z, Authentication Failure, User320
2019-12-09T09:48:25.000Z, Logout, User423
2019-12-09T09:48:29.000Z, Logout, User192
2019-12-09T09:48:48.000Z, Logout, User71
2019-12-09T09:49:50.000Z, Login, User141
2019-12-09T09:49:54.000Z, Process Start, User198
2019-12-09T09:50:05.000Z, Process Start, User26
2019-12-09T09:50:21.000Z, Process Start, User337
2019-12-09T09:50:30.000Z, Process Start, User58
2019-12-09T09:50:51.000Z, Process Start, User367
2019-12-09T09:50:52.000Z, Process Start, User337
2019-12-09T09:51:08.000Z, Process Start, User367
2019-12-09T09:51:10.000Z, Logout, User141
2019-12-09T09:51:33.000Z, Login, User153
2019-12-09T09:51:44.000Z, Logout, User107
2019-12-09T09:52:09.000Z, Authentication Failure, User259
2019-12-09T09:52:27.000Z, Process Start, User367
2019-12-09T09:52:29.000Z, Logout, User413
2019-12-09T09:53:14.000Z, Process Start, User416
2019-12-09T09:53:45.000Z, Logout, User26
2019-12-09T09:53:55.000Z, Login, User52
2019-12-09T09:54:01.000Z, Logout, User337
2019-12-09T09:54:21.000Z, Authentication Failure, User399
2019-12-09T09:54:47.000Z, Process Start, User52
2019-12-09T09:55:08.000Z, Logout, User52
2019-12-09T09:55:15.000Z, Login, User443
2019-12-09T09:55:20.000Z, Process Start, User443
2019-12-09T09:55:33.000Z, Process Start, User292
2019-12-09T09:56:09.000Z, Process Start, User58
2019-12-09T09:56:16.000Z, Logout, User198
2019-12-09T09:57:29.000Z, Authentication Failure, User159
2019-12-09T09:57:31.000Z, Logout, User153
2019-12-09T09:57:35.000Z, Process Start, User443
2019-12-09T09:57:36.000Z, Logout, User58
2019-12-09T09:57:52.000Z, Login, User147
2019-12-09T09:57:53.000Z, Authentication Failure, User14
2019-12-09T09:58:01.000Z, Login, User301
2019-12-09T09:58:22.000Z, Login, User405
2019-12-09T09:58:23.000Z, Login, User5
2019-12-09T09:58:35.000Z, Logout, User147
2019-12-09T09:58:43.000Z, Login, User110
2019-12-09T09:58:47.000Z, Login, User224
2019-12-09T09:59:03.000Z, Process Start, User367
2019-12-09T09:59:11.000Z, Process Start, User405
2019-12-09T09:59:16.000Z, Process Start, User110
2019-12-09T09:59:23.000Z, Login, User297
2019-12-09T09:59:34.000Z, Logout, User297
2019-12-09T09:59:47.000Z, Logout, User301
2019-12-09T09:59:50.000Z, Logout, User292
2019-12-09T09:59:54.000Z, Process Start, User443
2019-12-09T10:00:18.000Z, Login, User242
2019-12-09T10:00:20.000Z, Logout, User5
2019-12-09T10:00:42.000Z, Login, User94
2019-12-09T10:01:03.000Z, Logout, User110
2019-12-09T10:01:50.000Z, Login, User410
2019-12-09T10:01:55.000Z, Login, User453
2019-12-09T10:02:12.000Z, Login, User71
2019-12-09T10:02:20.000Z, Process Start, User71
2019-12-09T10:02:20.000Z, Logout, User416
2019-12-09T10:02:27.000Z, Login, User65
2019-12-09T10:02:28.000Z, Process Start, User242
2019-12-09T10:02:53.000Z, Logout, User443
2019-12-09T10:03:34.000Z, Logout, User453
2019-12-09T10:03:39.000Z, Process Start, User71
2019-12-09T10:03:49.000Z, Logout, User410
2019-12-09T10:03:56.000Z, Login, User266
2019-12-09T10:04:12.000Z, Process Start, User367
2019-12-09T10:04:29.000Z, Process Start, User405
2019-12-09T10:04:41.000Z, Logout, User224
2019-12-09T10:04:52.000Z, Authentication Failure, User64
2019-12-09T10:05:04.000Z, Authentication Failure, User473
2019-12-09T10:05:12.000Z, Logout, User266
2019-12-09T10:05:44.000Z, Process Start, User65
2019-12-09T10:06:20.000Z, Process Start, User367
2019-12-09T10:06:27.000Z, Logout, User242
2019-12-09T10:07:14.000Z, Login, User318
2019-12-09T10:07:16.000Z, Login, User157
2019-12-09T10:07:18.000Z, Logout, User405
2019-12-09T10:07:22.000Z, Logout, User318
2019-12-09T10:07:32.000Z, Login, User389
2019-12-09T10:07:37.000Z, Logout, User71
2019-12-09T10:08:11.000Z, Process Start, User389
2019-12-09T10:08:20.000Z, Login, User325
2019-12-09T10:08:27.000Z, Logout, User367
2019-12-09T10:08:36.000Z, Logout, User389
2019-12-09T10:09:00.000Z, Process Start, User157
2019-12-09T10:09:37.000Z, Login, User227
2019-12-09T10:10:18.000Z, Process Start, User94
2019-12-09T10:10:30.000Z, Login, User182
2019-12-09T10:10:38.000Z, Logout, User65
2019-12-09T10:11:25.000Z, Login, User126
2019-12-09T10:11:32.000Z, Authentication Failure, User305
2019-12-09T10:12:15.000Z, Logout, User325
2019-12-09T10:13:58.000Z, Process Start, User227
2019-12-09T10:14:09.000Z, Login, User372
2019-12-09T10:14:16.000Z, Logout, User227
2019-12-09T10:14:23.000Z, Process Start, User94
2019-12-09T10:14:41.000Z, Logout, User94
2019-12-09T10:14:43.000Z, Login, User283
2019-12-09T10:14:55.000Z, Logout, User157
2019-12-09T10:15:05.000Z, Login, User64
2019-12-09T10:15:11.000Z, Logout, User372
2019-12-09T10:15:49.000Z, Login, User49
2019-12-09T10:15:52.000Z, Authentication Failure, User39
2019-12-09T10:16:13.000Z, Process Start, User182
2019-12-09T10:16:23.000Z, Login, User448
2019-12-09T10:16:24.000Z, Logout, User64
2019-12-09T10:16:35.000Z, Authentication Failure, User287
2019-12-09T10:17:24.000Z, Logout, User49
2019-12-09T10:18:44.000Z, Login, User225
2019-12-09T10:18:50.000Z, Login, User197
2019-12-09T10:19:03.000Z, Logout, User126
2019-12-09T10:20:49.000Z, Login, User139
2019-12-09T10:20:50.000Z, Logout, User448
2019-12-09T10:21:58.000Z, Login, User221
2019-12-09T10:22:08.000Z, Process Start, User283
2019-12-09T10:22:14.000Z, Process Start, User221
2019-12-09T10:22:16.000Z, Login, User232
2019-12-09T10:22:40.000Z, Login, User278
2019-12-09T10:22:47.000Z, Logout, User182
2019-12-09T10:23:13.000Z, Authentication Failure, User150
2019-12-09T10:23:27.000Z, Login, User479
2019-12-09T10:23:40.000Z, Login, User126
2019-12-09T10:23:53.000Z, Process Start, User232
2019-12-09T10:23:55.000Z, Logout, User221
2019-12-09T10:24:08.000Z, Process Start, User197
2019-12-09T10:24:16.000Z, Login, User221
2019-12-09T10:24:26.000Z, Process Start, User479
2019-12-09T10:24:29.000Z, Login, User49
2019-12-09T10:25:27.000Z, Process Start, User225
2019-12-09T10:25:33.000Z, Process Start, User225
2019-12-09T10:25:39.000Z, Login, User259
2019-12-09T10:25:52.000Z, Login, User110
2019-12-09T10:26:13.000Z, Logout, User221
2019-12-09T10:26:14.000Z, Authentication Failure, User495
2019-12-09T10:27:25.000Z, Authentication Failure, User240
2019-12-09T10:27:31.000Z, Authentication Failure, User466
2019-12-09T10:27:58.000Z, Logout, User49
2019-12-09T10:28:09.000Z, Authentication Failure, User227
2019-12-09T10:28:24.000Z, Authentication Failure, User464
2019-12-09T10:28:44.000Z, Process Start, User278
2019-12-09T10:28:51.000Z, Logout, User479
2019-12-09T10:29:01.000Z, Login, User201
2019-12-09T10:29:02.000Z, Process Start, User201
2019-12-09T10:29:09.000Z, Logout, User197
2019-12-09T10:29:09.000Z, Process Start, User278
2019-12-09T10:29:11.000Z, Login, User372
2019-12-09T10:29:19.000Z, Login, User222
2019-12-09T10:29:25.000Z, Process Start, User372
2019-12-09T10:29:30.000Z, Login, User26
2019-12-09T10:29:42.000Z, Process Start, User139
2019-12-09T10:30:01.000Z, Process Start, User225
2019-12-09T10:30:08.000Z, Process Start, User126
2019-12-09T10:30:30.000Z, Process Start, User26
2019-12-09T10:30:34.000Z, Process Start, User225
2019-12-09T10:30:45.000Z, Logout, User225
2019-12-09T10:31:02.000Z, Process Start, User259
2019-12-09T10:31:03.000Z, Login, User426
2019-12-09T10:31:05.000Z, Process Start, User201
2019-12-09T10:31:27.000Z, Logout, User372
2019-12-09T10:31:37.000Z, Process Start, User126
2019-12-09T10:31:45.000Z, Process Start, User283
2019-12-09T10:31:49.000Z, Process Start, User278
2019-12-09T10:31:53.000Z, Logout, User26
2019-12-09T10:32:08.000Z, Login, User83
2019-12-09T10:32:36.000Z, Authentication Failure, User132
2019-12-09T10:32:41.000Z, Process Start, User139
2019-12-09T10:33:06.000Z, Login, User96
2019-12-09T10:33:22.000Z, Logout, User96
2019-12-09T10:33:48.000Z, Login, User297
2019-12-09T10:33:50.000Z, Logout, User110
2019-12-09T10:33:55.000Z, Logout, User126
2019-12-09T10:34:05.000Z, Login, User225
2019-12-09T10:34:20.000Z, Login, User400
2019-12-09T10:34:36.000Z, Login, User284
2019-12-09T10:34:44.000Z, Logout, User400
2019-12-09T10:35:07.000Z, Login, User159
2019-12-09T10:35:07.000Z, Logout, User283
2019-12-09T10:35:28.000Z, Logout, User232
2019-12-09T10:35:30.000Z, Logout, User297
2019-12-09T10:35:38.000Z, Login, User210
2019-12-09T10:35:44.000Z, Login, User93
2019-12-09T10:36:12.000Z, Authentication Failure, User308
2019-12-09T10:36:14.000Z, Login, User399
2019-12-09T10:36:25.000Z, Logout, User225
2019-12-09T10:36:34.000Z, Logout, User426
2019-12-09T10:36:40.000Z, Login, User46
2019-12-09T10:36:48.000Z, Process Start, User222
2019-12-09T10:36:59.000Z, Logout, User46
2019-12-09T10:37:01.000Z, Logout, User284
2019-12-09T10:37:05.000Z, Logout, User278
2019-12-09T10:37:09.000Z, Login, User365
2019-12-09T10:37:17.000Z, Process Start, User93
2019-12-09T10:37:26.000Z, Process Start, User83
2019-12-09T10:37:45.000Z, Logout, User159
2019-12-09T10:37:54.000Z, Process Start, User365
2019-12-09T10:38:01.000Z, Logout, User365
2019-12-09T10:38:02.000Z, Login, User14
2019-12-09T10:38:21.000Z, Logout, User83
2019-12-09T10:38:35.000Z, Process Start, User222
2019-12-09T10:38:48.000Z, Logout, User222
2019-12-09T10:38:48.000Z, Authentication Failure, User439
2019-12-09T10:38:59.000Z, Login, User245
2019-12-09T10:39:00.000Z, Authentication Failure, User232
2019-12-09T10:39:20.000Z, Login, User289
2019-12-09T10:39:20.000Z, Login, User400
2019-12-09T10:39:26.000Z, Authentication Failure, User249
2019-12-09T10:39:44.000Z, Logout, User400
2019-12-09T10:39:46.000Z, Logout, User210
2019-12-09T10:40:52.000Z, Process Start, User201
2019-12-09T10:40:58.000Z, Process Start, User259
2019-12-09T10:41:24.000Z, Process Start, User245
2019-12-09T10:41:27.000Z, Login, User180
2019-12-09T10:42:22.000Z, Process Start, User245
2019-12-09T10:42:43.000Z, Process Start, User289
2019-12-09T10:42:51.000Z, Logout, User93
2019-12-09T10:42:52.000Z, Logout, User399
2019-12-09T10:42:58.000Z, Logout, User201
2019-12-09T10:43:09.000Z, Authentication Failure, User440
2019-12-09T10:43:10.000Z, Login, User467
2019-12-09T10:43:26.000Z, Logout, User467
2019-12-09T10:43:34.000Z, Login, User26
2019-12-09T10:43:38.000Z, Process Start, User289
2019-12-09T10:43:54.000Z, Login, User278
2019-12-09T10:44:16.000Z, Login, User360
2019-12-09T10:44:31.000Z, Logout, User289
2019-12-09T10:45:03.000Z, Login, User25
2019-12-09T10:45:14.000Z, Login, User30
2019-12-09T10:45:21.000Z, Logout, User139
2019-12-09T10:45:36.000Z, Login, User47
2019-12-09T10:45:36.000Z, Login, User110
2019-12-09T10:45:41.000Z, Logout, User259
2019-12-09T10:46:03.000Z, Authentication Failure, User326
2019-12-09T10:46:13.000Z, Process Start, User245
2019-12-09T10:46:31.000Z, Login, User391
2019-12-09T10:46:41.000Z, Process Start, User26
2019-12-09T10:46:49.000Z, Login, User120
2019-12-09T10:46:55.000Z, Login, User238
2019-12-09T10:47:09.000Z, Process Start, User14
2019-12-09T10:47:10.000Z, Login, User359
2019-12-09T10:47:17.000Z, Logout, User238
2019-12-09T10:47:19.000Z, Logout, User391
2019-12-09T10:47:23.000Z, Login, User314
2019-12-09T10:47:37.000Z, Process Start, User47
2019-12-09T10:48:44.000Z, Process Start, User30
2019-12-09T10:48:56.000Z, Login, User500
2019-12-09T10:49:00.000Z, Logout, User25
2019-12-09T10:49:39.000Z, Process Start, User30
